	_raw_log	webhook	event	_bundle_id	test_data_event_id	_reception_time
0		"{""id"":8,""name"":""Nadav JamfProLogFormat"",""webhookEvent"":""ComputerCheckIn"",""eventTimestamp"":1670170661268}"	"{""trigger"":""CLIENT_CHECKIN"",""username"":""administrator"",""computer"":{""udid"":""42242BC8-BDDB-3A4A-DC19-C08D7A24E5D8"",""deviceName"":""macOS12-VM"",""model"":""VMware Virtual Platform"",""macAddress"":""00:50:56:9F:A2:1F"",""alternateMacAddress"":"""",""serialNumber"":""VM5dUG5/V3sZ"",""osVersion"":""12.6.1"",""osBuild"":""21G207"",""userDirectoryID"":""-1"",""username"":"""",""realName"":"""",""emailAddress"":"""",""phone"":"""",""position"":"""",""department"":"""",""building"":"""",""room"":"""",""ipAddress"":""194.90.142.36"",""reportedIpAddress"":""172.16.11.51"",""jssID"":140}}"	http_collector/2022-12-04/jamf/1670170661605422811-1.jamf_pro		
1		"{""id"":8,""name"":""Nadav JamfProLogFormat"",""webhookEvent"":""ComputerCheckIn"",""eventTimestamp"":1670166469172}"	"{""trigger"":""CLIENT_CHECKIN"",""username"":""administrator"",""computer"":{""udid"":""42242BC8-BDDB-3A4A-DC19-C08D7A24E5D8"",""deviceName"":""macOS12-VM"",""model"":""VMware Virtual Platform"",""macAddress"":""00:50:56:9F:A2:1F"",""alternateMacAddress"":"""",""serialNumber"":""VM5dUG5/V3sZ"",""osVersion"":""12.6.1"",""osBuild"":""21G207"",""userDirectoryID"":""-1"",""username"":"""",""realName"":"""",""emailAddress"":"""",""phone"":"""",""position"":"""",""department"":"""",""building"":"""",""room"":"""",""ipAddress"":""194.90.142.36"",""reportedIpAddress"":""172.16.11.51"",""jssID"":140}}"	http_collector/2022-12-04/jamf/1670166469547699912-1.jamf_pro		
2		"{""id"":8,""name"":""Nadav JamfProLogFormat"",""webhookEvent"":""ComputerCheckIn"",""eventTimestamp"":1670141032341}"	"{""trigger"":""CLIENT_CHECKIN"",""username"":""administrator"",""computer"":{""udid"":""42242BC8-BDDB-3A4A-DC19-C08D7A24E5D8"",""deviceName"":""macOS12-VM"",""model"":""VMware Virtual Platform"",""macAddress"":""00:50:56:9F:A2:1F"",""alternateMacAddress"":"""",""serialNumber"":""VM5dUG5/V3sZ"",""osVersion"":""12.6.1"",""osBuild"":""21G207"",""userDirectoryID"":""-1"",""username"":"""",""realName"":"""",""emailAddress"":"""",""phone"":"""",""position"":"""",""department"":"""",""building"":"""",""room"":"""",""ipAddress"":""194.90.142.36"",""reportedIpAddress"":""172.16.11.51"",""jssID"":140}}"	http_collector/2022-12-04/jamf/1670141032696135802-1.jamf_pro		
3		"{""id"":8,""name"":""Nadav JamfProLogFormat"",""webhookEvent"":""ComputerCheckIn"",""eventTimestamp"":1670168606359}"	"{""trigger"":""CLIENT_CHECKIN"",""username"":""administrator"",""computer"":{""udid"":""42242BC8-BDDB-3A4A-DC19-C08D7A24E5D8"",""deviceName"":""macOS12-VM"",""model"":""VMware Virtual Platform"",""macAddress"":""00:50:56:9F:A2:1F"",""alternateMacAddress"":"""",""serialNumber"":""VM5dUG5/V3sZ"",""osVersion"":""12.6.1"",""osBuild"":""21G207"",""userDirectoryID"":""-1"",""username"":"""",""realName"":"""",""emailAddress"":"""",""phone"":"""",""position"":"""",""department"":"""",""building"":"""",""room"":"""",""ipAddress"":""194.90.142.36"",""reportedIpAddress"":""172.16.11.51"",""jssID"":140}}"	http_collector/2022-12-04/jamf/1670168606706198657-1.jamf_pro		
4		"{""id"":8,""name"":""Nadav JamfProLogFormat"",""webhookEvent"":""ComputerCheckIn"",""eventTimestamp"":1670164233916}"	"{""trigger"":""CLIENT_CHECKIN"",""username"":""administrator"",""computer"":{""udid"":""42242BC8-BDDB-3A4A-DC19-C08D7A24E5D8"",""deviceName"":""macOS12-VM"",""model"":""VMware Virtual Platform"",""macAddress"":""00:50:56:9F:A2:1F"",""alternateMacAddress"":"""",""serialNumber"":""VM5dUG5/V3sZ"",""osVersion"":""12.6.1"",""osBuild"":""21G207"",""userDirectoryID"":""-1"",""username"":"""",""realName"":"""",""emailAddress"":"""",""phone"":"""",""position"":"""",""department"":"""",""building"":"""",""room"":"""",""ipAddress"":""194.90.142.36"",""reportedIpAddress"":""172.16.11.51"",""jssID"":140}}"	http_collector/2022-12-04/jamf/1670164234272590398-1.jamf_pro		
5		"{""id"":8,""name"":""Nadav JamfProLogFormat"",""webhookEvent"":""ComputerCheckIn"",""eventTimestamp"":1670161080622}"	"{""trigger"":""CLIENT_CHECKIN"",""username"":""administrator"",""computer"":{""udid"":""42242BC8-BDDB-3A4A-DC19-C08D7A24E5D8"",""deviceName"":""macOS12-VM"",""model"":""VMware Virtual Platform"",""macAddress"":""00:50:56:9F:A2:1F"",""alternateMacAddress"":"""",""serialNumber"":""VM5dUG5/V3sZ"",""osVersion"":""12.6.1"",""osBuild"":""21G207"",""userDirectoryID"":""-1"",""username"":"""",""realName"":"""",""emailAddress"":"""",""phone"":"""",""position"":"""",""department"":"""",""building"":"""",""room"":"""",""ipAddress"":""194.90.142.36"",""reportedIpAddress"":""172.16.11.51"",""jssID"":140}}"	http_collector/2022-12-04/jamf/1670161080976897547-1.jamf_pro		
6		"{""id"":8,""name"":""Nadav JamfProLogFormat"",""webhookEvent"":""ComputerCheckIn"",""eventTimestamp"":1670184608438}"	"{""trigger"":""CLIENT_CHECKIN"",""username"":""administrator"",""computer"":{""udid"":""42242BC8-BDDB-3A4A-DC19-C08D7A24E5D8"",""deviceName"":""macOS12-VM"",""model"":""VMware Virtual Platform"",""macAddress"":""00:50:56:9F:A2:1F"",""alternateMacAddress"":"""",""serialNumber"":""VM5dUG5/V3sZ"",""osVersion"":""12.6.1"",""osBuild"":""21G207"",""userDirectoryID"":""-1"",""username"":"""",""realName"":"""",""emailAddress"":"""",""phone"":"""",""position"":"""",""department"":"""",""building"":"""",""room"":"""",""ipAddress"":""194.90.142.36"",""reportedIpAddress"":""172.16.11.51"",""jssID"":140}}"	http_collector/2022-12-04/jamf/1670184608823334006-1.jamf_pro		
7		"{""id"":8,""name"":""Nadav JamfProLogFormat"",""webhookEvent"":""ComputerCheckIn"",""eventTimestamp"":1670176980542}"	"{""trigger"":""CLIENT_CHECKIN"",""username"":""administrator"",""computer"":{""udid"":""42242BC8-BDDB-3A4A-DC19-C08D7A24E5D8"",""deviceName"":""macOS12-VM"",""model"":""VMware Virtual Platform"",""macAddress"":""00:50:56:9F:A2:1F"",""alternateMacAddress"":"""",""serialNumber"":""VM5dUG5/V3sZ"",""osVersion"":""12.6.1"",""osBuild"":""21G207"",""userDirectoryID"":""-1"",""username"":"""",""realName"":"""",""emailAddress"":"""",""phone"":"""",""position"":"""",""department"":"""",""building"":"""",""room"":"""",""ipAddress"":""194.90.142.36"",""reportedIpAddress"":""172.16.11.51"",""jssID"":140}}"	http_collector/2022-12-04/jamf/1670176980887398483-1.jamf_pro		
8		"{""id"":8,""name"":""Nadav JamfProLogFormat"",""webhookEvent"":""ComputerCheckIn"",""eventTimestamp"":1670113975774}"	"{""trigger"":""CLIENT_CHECKIN"",""username"":""administrator"",""computer"":{""udid"":""42242BC8-BDDB-3A4A-DC19-C08D7A24E5D8"",""deviceName"":""macOS12-VM"",""model"":""VMware Virtual Platform"",""macAddress"":""00:50:56:9F:A2:1F"",""alternateMacAddress"":"""",""serialNumber"":""VM5dUG5/V3sZ"",""osVersion"":""12.6.1"",""osBuild"":""21G207"",""userDirectoryID"":""-1"",""username"":"""",""realName"":"""",""emailAddress"":"""",""phone"":"""",""position"":"""",""department"":"""",""building"":"""",""room"":"""",""ipAddress"":""194.90.142.36"",""reportedIpAddress"":""172.16.11.51"",""jssID"":140}}"	http_collector/2022-12-04/jamf/1670113976157318871-1.jamf_pro		
9		"{""id"":8,""name"":""Nadav JamfProLogFormat"",""webhookEvent"":""ComputerCheckIn"",""eventTimestamp"":1670116026518}"	"{""trigger"":""CLIENT_CHECKIN"",""username"":""administrator"",""computer"":{""udid"":""42242BC8-BDDB-3A4A-DC19-C08D7A24E5D8"",""deviceName"":""macOS12-VM"",""model"":""VMware Virtual Platform"",""macAddress"":""00:50:56:9F:A2:1F"",""alternateMacAddress"":"""",""serialNumber"":""VM5dUG5/V3sZ"",""osVersion"":""12.6.1"",""osBuild"":""21G207"",""userDirectoryID"":""-1"",""username"":"""",""realName"":"""",""emailAddress"":"""",""phone"":"""",""position"":"""",""department"":"""",""building"":"""",""room"":"""",""ipAddress"":""194.90.142.36"",""reportedIpAddress"":""172.16.11.51"",""jssID"":140}}"	http_collector/2022-12-04/jamf/1670116026895244054-1.jamf_pro		
